cluster,n_patients,feature,roi,rho,p,n,signed_log10p,subcortical
0,12,X,Left_Accumbens_area,-0.2797202797202798,0.37856866966230307,12,-0.4218553310901384,True
0,12,X,Left_Amygdala,-0.15384615384615385,0.6330906812462618,12,-0.19853407901227083,True
0,12,X,Left_Caudate,-0.30069930069930073,0.34225952894002465,12,-0.46564445171563235,True
0,12,X,Left_Cerebellum_Cortex,-0.25874125874125875,0.41677476889913834,12,-0.3800985806383651,True
0,12,X,Left_Hippocampus,-0.3426573426573427,0.27556745095678037,12,-0.5597720810484027,True
0,12,X,Left_Pallidum,-0.1188811188811189,0.712884219214772,12,-0.14698099895484662,True
0,12,X,Left_Putamen,-0.35664335664335667,0.25513775175895725,12,-0.5932252757392632,True
0,12,X,Left_Thalamus,-0.31468531468531474,0.31913878550330455,12,-0.49602041201939817,True
0,12,X,Left_VentralDC,-0.16083916083916086,0.6175234895401425,12,-0.20934651793284345,True
0,12,X,Right_Accumbens_area,-0.2797202797202798,0.37856866966230307,12,-0.4218553310901384,True
0,12,X,Right_Amygdala,-0.6083916083916086,0.035805997052029234,12,-1.4460442284264465,True
0,12,X,Right_Caudate,-0.5104895104895105,0.08991373630263913,12,-1.0461739551552438,True
0,12,X,Right_Cerebellum_Cortex,-0.14685314685314685,0.6487957097846664,12,-0.18789203059561477,True
0,12,X,Right_Hippocampus,-0.4755244755244756,0.11817595701303213,12,-0.9274708720054077,True
0,12,X,Right_Pallidum,0.16083916083916086,0.6175234895401425,12,0.20934651793284345,True
0,12,X,Right_Putamen,-0.16083916083916086,0.6175234895401425,12,-0.20934651793284345,True
0,12,X,Right_Thalamus,-0.08391608391608392,0.7954145018538977,12,-0.09940649529910545,True
0,12,X,Right_VentralDC,0.09090909090909093,0.7787253962454419,12,0.10861566160871236,True
0,12,X,ctx_lh_bankssts,0.06293706293706294,0.8459309212287789,12,0.07266510002722608,False
0,12,X,ctx_lh_caudalanteriorcingulate,-0.3916083916083916,0.2080634636953532,12,-0.6818041759565485,False
0,12,X,ctx_lh_caudalmiddlefrontal,-0.2937062937062937,0.35414764123292175,12,-0.4508156464335365,False
0,12,X,ctx_lh_cuneus,-0.5174825174825175,0.08486877113393493,12,-1.0712520861892576,False
0,12,X,ctx_lh_entorhinal,-0.30069930069930073,0.34225952894002465,12,-0.46564445171563235,False
0,12,X,ctx_lh_frontalpole,0.0,1.0,12,-0.0,False
0,12,X,ctx_lh_fusiform,-0.2517482517482518,0.42991878503288405,12,-0.36661357824217705,False
0,12,X,ctx_lh_inferiorparietal,-0.14685314685314685,0.6487957097846664,12,-0.18789203059561477,False
0,12,X,ctx_lh_inferiortemporal,-0.4685314685314686,0.124454791188834,12,-0.9049883795148546,False
0,12,X,ctx_lh_insula,-0.2867132867132868,0.36625146058358227,12,-0.4362206347002906,False
0,12,X,ctx_lh_isthmuscingulate,-0.1958041958041958,0.5419358857313175,12,-0.26605209006699926,False
0,12,X,ctx_lh_lateraloccipital,-0.15384615384615385,0.6330906812462618,12,-0.19853407901227083,False
0,12,X,ctx_lh_lateralorbitofrontal,-0.6013986013986015,0.03858845292201944,12,-1.4135426326983214,False
0,12,X,ctx_lh_lingual,-0.5524475524475525,0.06251148327961512,12,-1.2040401959858655,False
0,12,X,ctx_lh_medialorbitofrontal,-0.4055944055944056,0.19083587400450033,12,-0.7193399817402794,False
0,12,X,ctx_lh_middletemporal,-0.31468531468531474,0.31913878550330455,12,-0.49602041201939817,False
0,12,X,ctx_lh_paracentral,-0.2937062937062937,0.35414764123292175,12,-0.4508156464335365,False
0,12,X,ctx_lh_parahippocampal,-0.3636363636363637,0.2452650007307772,12,-0.6103644211126535,False
0,12,X,ctx_lh_parsopercularis,-0.1258741258741259,0.6966831093957659,12,-0.15696471850969104,False
0,12,X,ctx_lh_parsorbitalis,-0.35664335664335667,0.25513775175895725,12,-0.5932252757392632,False
0,12,X,ctx_lh_parstriangularis,-0.1958041958041958,0.5419358857313175,12,-0.26605209006699926,False
0,12,X,ctx_lh_pericalcarine,-0.2447552447552448,0.4432619364501832,12,-0.35333956060093236,False
0,12,X,ctx_lh_postcentral,-0.4545454545454546,0.13765791634772945,12,-0.8611988084095694,False
0,12,X,ctx_lh_posteriorcingulate,-0.2377622377622378,0.4568008526399232,12,-0.3402730941307108,False
0,12,X,ctx_lh_precentral,-0.31468531468531474,0.31913878550330455,12,-0.49602041201939817,False
0,12,X,ctx_lh_precuneus,-0.3916083916083916,0.2080634636953532,12,-0.6818041759565485,False
0,12,X,ctx_lh_rostralanteriorcingulate,-0.35664335664335667,0.25513775175895725,12,-0.5932252757392632,False
0,12,X,ctx_lh_rostralmiddlefrontal,-0.30069930069930073,0.34225952894002465,12,-0.46564445171563235,False
0,12,X,ctx_lh_superiorfrontal,-0.31468531468531474,0.31913878550330455,12,-0.49602041201939817,False
0,12,X,ctx_lh_superiorparietal,-0.2937062937062937,0.35414764123292175,12,-0.4508156464335365,False
0,12,X,ctx_lh_superiortemporal,-0.5524475524475525,0.06251148327961512,12,-1.2040401959858655,False
0,12,X,ctx_lh_supramarginal,-0.4125874125874127,0.18256397857316675,12,-0.7385849083468483,False
0,12,X,ctx_lh_temporalpole,-0.10489510489510491,0.7456094809807079,12,-0.12748857824068238,False
0,12,X,ctx_lh_transversetemporal,-0.5314685314685316,0.07536233505348364,12,-1.1228456536714941,False
0,12,X,ctx_rh_bankssts,-0.20979020979020982,0.5128409431818263,12,-0.2900173097604524,False
0,12,X,ctx_rh_caudalanteriorcingulate,-0.34965034965034975,0.2652387868927897,12,-0.5763629670628948,False
0,12,X,ctx_rh_caudalmiddlefrontal,-0.3076923076923077,0.3305892594121097,12,-0.4807112604252688,False
0,12,X,ctx_rh_cuneus,-0.3076923076923077,0.3305892594121097,12,-0.4807112604252688,False
0,12,X,ctx_rh_entorhinal,-0.6433566433566434,0.024003191200713644,12,-1.6197310154247235,False
0,12,X,ctx_rh_frontalpole,-0.17482517482517487,0.5868236643627043,12,-0.2314923810337392,False
0,12,X,ctx_rh_fusiform,-0.4055944055944056,0.19083587400450033,12,-0.7193399817402794,False
0,12,X,ctx_rh_inferiorparietal,-0.3706293706293707,0.2356210035126457,12,-0.6277859986766551,False
0,12,X,ctx_rh_inferiortemporal,-0.5734265734265735,0.05126558978649144,12,-1.290174041907627,False
0,12,X,ctx_rh_insula,-0.3216783216783217,0.30790987618065263,12,-0.5115763809182647,False
0,12,X,ctx_rh_isthmuscingulate,-0.1398601398601399,0.6646331617926677,12,-0.17741799344510945,False
0,12,X,ctx_rh_lateraloccipital,-0.27272727272727276,0.3910967709418962,12,-0.4077157697494941,False
0,12,X,ctx_rh_lateralorbitofrontal,-0.27272727272727276,0.3910967709418962,12,-0.4077157697494941,False
0,12,X,ctx_rh_lingual,-0.4545454545454546,0.13765791634772945,12,-0.8611988084095694,False
0,12,X,ctx_rh_medialorbitofrontal,0.0,1.0,12,-0.0,False
0,12,X,ctx_rh_middletemporal,-0.5244755244755246,0.08001937592027475,12,-1.0968048400532209,False
0,12,X,ctx_rh_paracentral,-0.4825174825174825,0.11210929146889191,12,-0.9503583921646476,False
0,12,X,ctx_rh_parahippocampal,-0.4055944055944056,0.19083587400450033,12,-0.7193399817402794,False
0,12,X,ctx_rh_parsopercularis,-0.2937062937062937,0.35414764123292175,12,-0.4508156464335365,False
0,12,X,ctx_rh_parsorbitalis,-0.4685314685314686,0.124454791188834,12,-0.9049883795148546,False
0,12,X,ctx_rh_parstriangularis,-0.3356643356643357,0.2861229029149875,12,-0.5434473773869912,False
0,12,X,ctx_rh_pericalcarine,-0.1188811188811189,0.712884219214772,12,-0.14698099895484662,False
0,12,X,ctx_rh_postcentral,-0.3216783216783217,0.30790987618065263,12,-0.5115763809182647,False
